FID,id_objeto,nome,geometriaaproximada,nomeabrev,largura,extensao,operacional,situacaofisica,homologacao,tipopista,usopista,revestimento,geom
BCIM_Pista_Ponto_Pouso_P.39525,39525,Soure,Não,,30,1100,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-48.51805555644398 -0.6983333341881198)
BCIM_Pista_Ponto_Pouso_P.36801,36801,Amargosa,Não,,25,1120,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-39.640555556131766 -12.99444444464558)
BCIM_Pista_Ponto_Pouso_P.36807,36807,Correntina,Não,,25,1140,Sim,Construída,Sim,Pista de pouso,Público,Cascalho,POINT (-44.61722222266037 -13.380555555486296)
BCIM_Pista_Ponto_Pouso_P.37315,37315,Jundiaí,Não,,30,1400,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-46.94361111094793 -23.181666665492106)
BCIM_Pista_Ponto_Pouso_P.36793,36793,Country Club Orgabil,Não,,20,850,Sim,Construída,Sim,Pista de pouso,Desconhecido,Asfalto/Concreto Asfáltico,POINT (-50.40555555534818 -21.216388887744685)
BCIM_Pista_Ponto_Pouso_P.36795,36795,Itápolis,Não,,25,1300,Sim,Construída,Sim,Pista de pouso,Desconhecido,Asfalto/Concreto Asfáltico,POINT (-48.83277777762267 -21.599722221117418)
BCIM_Pista_Ponto_Pouso_P.36851,36851,Urucu,Não,,30,1320,Sim,Construída,Sim,Pista de pouso,Desconhecido,Asfalto/Concreto Asfáltico,POINT (-65.35638888875096 -4.8833333329876885)
BCIM_Pista_Ponto_Pouso_P.36853,36853,Conceição do Araguaia,Não,,30,1800,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-49.30305555607559 -8.348611111284558)
BCIM_Pista_Ponto_Pouso_P.36855,36855,Campo Délio Jardim de Mattos,Não,,52,2001,Sim,Construída,Sim,Pista de pouso,Militar,Concreto,POINT (-43.3844444444416 -22.875555554583173)
BCIM_Pista_Ponto_Pouso_P.36857,36857,Amapá,Não,,45,1525,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-50.862500000934354 2.072777776818106)
BCIM_Pista_Ponto_Pouso_P.36863,36863,Santa Maria,Não,,45,2200,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-37.07333333402876 -10.985277778277368)
BCIM_Pista_Ponto_Pouso_P.36881,36881,Bauru,Não,,35,1501,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-49.053888888679175 -22.343611109919365)
BCIM_Pista_Ponto_Pouso_P.36787,36787,Monte Dourado,Não,,30,1800,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-52.60222222296304 -0.889722222878089)
BCIM_Pista_Ponto_Pouso_P.36789,36789,Trombetas,Não,,30,1600,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-56.3991666672157 -1.4844444448698344)
BCIM_Pista_Ponto_Pouso_P.36811,36811,Teruel Ipanema Estância,Não,,30,1500,Sim,Construída,Sim,Pista de pouso,Público,Cascalho,POINT (-54.60249999960802 -20.59944444314982)
BCIM_Pista_Ponto_Pouso_P.36803,36803,Centro de Lançamento de Alcântara,Não,,45,2600,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-44.39083333425514 -2.371666667571031)
BCIM_Pista_Ponto_Pouso_P.36883,36883,Barra do Garças,Não,,30,1598,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-52.38944444444854 -15.860833332626438)
BCIM_Pista_Ponto_Pouso_P.36885,36885,Umberto Modiano,Não,,30,1300,Sim,Construída,Sim,Pista de pouso,Particular,Asfalto/Concreto Asfáltico,POINT (-41.9655555556081 -22.766111110216706)
BCIM_Pista_Ponto_Pouso_P.36889,36889,Cabo Frio,Não,,30,1700,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-42.0786111111513 -22.92499999908365)
BCIM_Pista_Ponto_Pouso_P.36891,36891,Cachimbo,Não,,45,2599,Sim,Construída,Sim,Pista de pouso,Militar,Asfalto/Concreto Asfáltico,POINT (-54.966944444672016 -9.336111110903593)
BCIM_Pista_Ponto_Pouso_P.36897,36897,Brigadeiro Lysias Augusto Rodrigues,Não,,45,1800,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-47.433888889519274 -7.333611111466892)
